OpenOLAT 16.1 Benutzerhandbuch,OpenOlat 16.1 User Manual
Release Notes,Release notes
Release Notes 16.1,Release notes 16.1
Release Notes 16.0,Release notes 16.0
Release Notes 15.5,Release notes 15.5
Release Notes 15.4,Release notes 15.4
Release Notes 15.3,Release notes 15.3
Release Notes 15.2,Release notes 15.2
Release Notes 15.1,Release notes 15.1
Release Notes 15.0,Release notes 15.0
Release Notes 14.2,Release notes 14.2
Release Notes - Ältere Releases,Release notes - Older releases
Einführung,Introduction
Über dieses Handbuch,What to Expect From this Manual
Weitere Informationsquellen,Further Sources of Information
Allgemeines zur Lernplattform,General Information on this Learning Platform
Informationen zu OpenOlat,Information on OpenOlat
Voraussetzungen für die Arbeit mit OpenOlat,Requirements when Working with OpenOlat
Der Open-Source-Gedanke,The Idea of Open-Source Software
Technologie und Navigation,Technology and Navigation
Rollen und Rechte,Roles and Rights
Betreuer,Coach
Gastzugang,Guest access
"Registrierung, Login und Logout","Registration, Login and Logout"
Login-Seite,Login Page
Session-Timeout und Logout,Session Timeout and Logout
Persönliches Menü und allgemeine Funktionen,Personal menu and general components
Persönliche Werkzeuge,Personal Menu
Kalender,Calendar
Persönliche Ordner,Personal folders
E-Mail,E-Mail
Konfiguration,Configuration
COVID Zertifikat,COVID certificate
Volltextsuche,Full-Text Search
Chat,Chat
Portal konfigurieren,Portal configuration
Mathematische Formel,Math formula
mit Tabellen arbeiten,Working with tables
Gruppen,Groups
Gruppen erstellen,Create Groups
Gruppenadministration,Group Administration
Gruppenwerkzeuge nutzen,Using Group Tools
Gruppenverwaltung,Group Management
Kurse und Katalog,Courses and Catalog
Kurse finden,Finding courses
Infoseite,Info page
Lernaktivitäten im Kurs,Learning Activities in Courses
Arbeiten mit Kursbausteinen,Working With Course Elements
Arbeiten mit Aufgaben und Gruppenaufgaben,Working with Forums
Arbeiten mit Foren,Working with Tasks and Group Tasks
Arbeiten mit der Themenvergabe,Working with Tests
Arbeiten mit Tests,Working with Topic Assignment
Arbeiten mit Wiki,Working with Wiki
Zusätzliche Kursfunktionen,Additional Course Features
Prüfungen,Exams
Probleme und Fehlermeldungen im Kurs,Course Problems and Error Messages
Autorenbereich,Authoring
Verschiedene Typen von Lernressourcen,Various Types of Learning Resources
Aktionen im Autorenbereich,Actions in the 'Authoring' section
Detailansicht einer Lernressource,Detailed View of Learning Resources
Infoseite einrichten,Set up info page
Automatische Informationen zur Lernressource,Technical Information on Resources and Usage
Kurs erstellen,Creating Courses
Allgemeines,General Information
Mit dem Kurseditor in fünf Schritten zu Ihrem OpenOlat-Kurs,In Five Steps to Your Course With the Course Editor
Mit dem Kursassistenten in wenigen Mausklicks zu Ihrem OpenOlat-Kurs,Just a Few Clicks and the Course Wizard Will Create Your OpenOlat Course
Lernpfad Kurs - Überblick,Learning path course
Lernpfad Kurse erstellen,Creating learning path courses
Lernpfad Kurs - Kurseditor,Learning path course - Course editor
Lernpfad Kurse - Teilnehmeransicht,Learning path course - Participant view
Allgemeine Konfiguration von Kursbausteinen,General Configuration of Course Elements
"Löschen, Verschieben und Kopieren von Kursbausteinen","Deleting, Moving and Copying Course Elements"
Zugriffsbeschränkungen im Expertenmodus,Access Restrictions in the Expert Mode
Verwendung weiterer Kurseditorwerkzeuge,Using additional Course Editor Tools
Kurseinstellungen,Course Settings
Gestalterische Möglichkeiten von Kursen und Kursbausteinen,Design possibilities of courses and course elements
Zugangskonfiguration,Access configuration
Kursbausteine,Types of Course Element
Wissensvermittlung,Knowledge Transfer
"Kursbaustein ""Struktur""",Course Element Structure
"Kursbaustein ""Ordner""",Course Element Folder
"Kursbaustein ""Einzelne Seite""",Course Element Single Page
"Kursbaustein ""SCORM-Lerninhalt""",Course Element SCORM Learning Content
"Kursbaustein ""card2brain Lernkarten""",Course Element card2brain Flashcards
"Kursbaustein ""Mediasite""",Course Element Mediasite
Wissensüberprüfung,Assessment
"Kursbaustein ""Bewertung""",Course Element Assessment
"Kursbaustein ""Checkliste""",Course Element Checklist
Kommunikation und Kollaboration,Communication and Collaboration
