Call,Search,Page,Anchor,NewPage,NewAnchor,Replacement
"contextHelpWithWrapper(""Personal Menu#_rss"")","""Personal Menu#_rss""",Personal Menu,_rss,manual_user/personal/Personal_Menu/,rss,"""manual_user/personal/Personal_Menu/#rss"""
"setFormContextHelp(""Set up info page"")","""Set up info page""",Set up info page,,manual_user/authoring/Set_up_info_page/,,"""manual_user/authoring/Set_up_info_page/"""
"setFormContextHelp(""Set up info page"")","""Set up info page""",Set up info page,,manual_user/authoring/Set_up_info_page/,,"""manual_user/authoring/Set_up_info_page/"""
"setFormContextHelp(""Set up info page"")","""Set up info page""",Set up info page,,manual_user/authoring/Set_up_info_page/,,"""manual_user/authoring/Set_up_info_page/"""
"setFormContextHelp(""Course Settings#_zugriff"")","""Course Settings#_zugriff""",Course Settings,_zugriff,manual_user/course_create/Course_Settings/,zugriff,"""manual_user/course_create/Course_Settings/#zugriff"""
"contextHelpWithWrapper(""Technical Information on Resources and Usage"")","""Technical Information on Resources and Usage""",Technical Information on Resources and Usage,,manual_user/authoring/Technical_Information_on_Resources_and_Usage/,,"""manual_user/authoring/Technical_Information_on_Resources_and_Usage/"""
"contextHelpWithWrapper(""Set up info page"")","""Set up info page""",Set up info page,,manual_user/authoring/Set_up_info_page/,,"""manual_user/authoring/Set_up_info_page/"""
"contextHelpWithWrapper(""Course Settings#_zugriff"")","""Course Settings#_zugriff""",Course Settings,_zugriff,manual_user/course_create/Course_Settings/,zugriff,"""manual_user/course_create/Course_Settings/#zugriff"""
"contextHelpWithWrapper(""Technical Information on Resources and Usage"")","""Technical Information on Resources and Usage""",Technical Information on Resources and Usage,,manual_user/authoring/Technical_Information_on_Resources_and_Usage/,,"""manual_user/authoring/Technical_Information_on_Resources_and_Usage/"""
"setFormContextHelp(""Assessment#highscore"")","""Assessment#highscore""",Assessment,highscore,manual_user/course_elements/Assessment/,ighscore,"""manual_user/course_elements/Assessment/#ighscore"""
"setFormContextHelp(""Course Settings#_course_disclaimer"")","""Course Settings#_course_disclaimer""",Course Settings,_course_disclaimer,manual_user/course_create/Course_Settings/,course_disclaimer,"""manual_user/course_create/Course_Settings/#course_disclaimer"""
"contextHelpWithWrapper(""Members management#course_consents"")","""Members management#course_consents""",Members management,course_consents,manual_user/course_operation/Members_management/,ourse_consents,"""manual_user/course_operation/Members_management/#ourse_consents"""
"contextHelpWithWrapper(""Using Course Tools#_lernbereich"")","""Using Course Tools#_lernbereich""",Using Course Tools,_lernbereich,manual_user/course_operation/Using_Course_Tools/,lernbereich,"""manual_user/course_operation/Using_Course_Tools/#lernbereich"""
"setFormContextHelp(""Course Settings#_leistungsnachweis"")","""Course Settings#_leistungsnachweis""",Course Settings,_leistungsnachweis,manual_user/course_create/Course_Settings/,leistungsnachweis,"""manual_user/course_create/Course_Settings/#leistungsnachweis"""
"setFormContextHelp(""Course Settings#_optionen"")","""Course Settings#_optionen""",Course Settings,_optionen,manual_user/course_create/Course_Settings/,optionen,"""manual_user/course_create/Course_Settings/#optionen"""
"contextHelpWithWrapper(""Course Element: Single Page"")","""Course Element: Single Page""",Course Element: Single Page,,manual_user/course_elements/Course_Element_Single_Page/,,"""manual_user/course_elements/Course_Element_Single_Page/"""
