Call	Search	Page	Anchor	NewPage	NewAnchor	
contextHelpJSCommand("Personal Menu#_abonnements")	Personal Menu#_abonnements	Personal Menu	_abonnements	manual_user/personal/Personal_Menu/	subscriptions	contextHelpJSCommand("manual_user/personal/Personal_Menu/#subscriptions")
contextHelpLink("Change+from+QTI+1.2+to+QTI+2.1")	Change+from+QTI+1.2+to+QTI+2.1	Change+from+QTI+1.2+to+QTI+2.1		manual_user/tests/Changing_from_QTI_1.2_to_QTI_2.1.de/		contextHelpLink("manual_user/tests/Changing_from_QTI_1.2_to_QTI_2.1.de/")
contextHelpLink("Login Page#login_browsercheck")	Login Page#login_browsercheck	Login Page	login_browsercheck	manual_user/login/Login_Page/	browsercheck	contextHelpLink("manual_user/login/Login_Page/#browsercheck")
contextHelpLink("User management")	User management	User management		manual_admin/usermanagement/		contextHelpLink("manual_admin/usermanagement/")
contextHelpWithWrapper("... create a bulk assessment for submission tasks")	... create a bulk assessment for submission tasks	... create a bulk assessment for submission tasks		manual_user/how-to/create_a_bulk_assessment_for_submission_tasks/		contextHelpWithWrapper("manual_user/how-to/create_a_bulk_assessment_for_submission_tasks/")
contextHelpWithWrapper("Administration and Organisation#_einschreibung")	Administration and Organisation#_einschreibung	Administration and Organisation	_einschreibung	manual_user/course_elements/Administration_and_Organisation/	enrolment	contextHelpWithWrapper("manual_user/course_elements/Administration_and_Organisation/#enrolment")
contextHelpWithWrapper("Administration and Organisation#_kalender")	Administration and Organisation#_kalender	Administration and Organisation	_kalender	manual_user/course_elements/Administration_and_Organisation/	cal	contextHelpWithWrapper("manual_user/course_elements/Administration_and_Organisation/#cal")
contextHelpWithWrapper("Administration and Organisation#_mitteilung")	Administration and Organisation#_mitteilung	Administration and Organisation	_mitteilung	manual_user/course_elements/Administration_and_Organisation/	notification	contextHelpWithWrapper("manual_user/course_elements/Administration_and_Organisation/#notification")
contextHelpWithWrapper("Assessment#_bewertung_kursbaustein")	Assessment#_bewertung_kursbaustein	Assessment	_bewertung_kursbaustein	manual_user/course_elements/Assessment/	course_element_assessment	contextHelpWithWrapper("manual_user/course_elements/Assessment/#course_element_assessment")
contextHelpWithWrapper("Assessment#_checklist_manage")	Assessment#_checklist_manage	Assessment	_checklist_manage	manual_user/course_elements/Course_Element_Checklist/		contextHelpWithWrapper("manual_user/course_elements/Course_Element_Checklist/")
contextHelpWithWrapper("Assessment#_fragebogen")	Assessment#_fragebogen	Assessment	_fragebogen	manual_user/course_elements/Assessment/	course_element_form	contextHelpWithWrapper("manual_user/course_elements/Assessment/#course_element_form")
contextHelpWithWrapper("Assessment#_task_coachview")	Assessment#_task_coachview	Assessment	_task_coachview	manual_user/course_operation/Assessing_tasks_and_group_tasks/		contextHelpWithWrapper("manual_user/course_operation/Assessing_tasks_and_group_tasks/")
contextHelpWithWrapper("Assessment#_test_kursbaustein")	Assessment#_test_kursbaustein	Assessment	_test_kursbaustein	manual_user/course_elements/Assessment/	course_element_test	contextHelpWithWrapper("manual_user/course_elements/Assessment/#course_element_test")
contextHelpWithWrapper("Calendar")	Calendar	Calendar		manual_user/personal/Calendar/		contextHelpWithWrapper("manual_user/personal/Calendar/")
contextHelpWithWrapper("Chat")	Chat	Chat		manual_user/personal/Chat/		contextHelpWithWrapper("manual_user/personal/Chat/")
contextHelpWithWrapper("Communication and Collaboration#_bigbluebutton_config")	Communication and Collaboration#_bigbluebutton_config	Communication and Collaboration	_bigbluebutton_config	manual_user/course_elements/Course_element_BigBlueButton/		contextHelpWithWrapper("manual_user/course_elements/Course_element_BigBlueButton/")
contextHelpWithWrapper("Communication and Collaboration#_dateidiskussion_access")	Communication and Collaboration#_dateidiskussion_access	Communication and Collaboration	_dateidiskussion_access	manual_user/course_elements/Communication_and_Collaboration/	file_dialog	contextHelpWithWrapper("manual_user/course_elements/Communication_and_Collaboration/#file_dialog")
contextHelpWithWrapper("Communication and Collaboration#_dateidiskussion")	Communication and Collaboration#_dateidiskussion	Communication and Collaboration	_dateidiskussion	manual_user/course_elements/Communication_and_Collaboration/	file_dialog	contextHelpWithWrapper("manual_user/course_elements/Communication_and_Collaboration/#file_dialog")
contextHelpWithWrapper("Communication and Collaboration#_moderation")	Communication and Collaboration#_moderation	Communication and Collaboration	_moderation	manual_user/course_elements/Communication_and_Collaboration/	forum	contextHelpWithWrapper("manual_user/course_elements/Communication_and_Collaboration/#forum")
contextHelpWithWrapper("Communication and Collaboration#_openmeeting_config")	Communication and Collaboration#_openmeeting_config	Communication and Collaboration	_openmeeting_config	manual_user/course_elements/Course_element_OpenMeetings/		contextHelpWithWrapper("manual_user/course_elements/Course_element_OpenMeetings/")
contextHelpWithWrapper("Communication and Collaboration#_participantfolder")	Communication and Collaboration#_participantfolder	Communication and Collaboration	_participantfolder	manual_user/course_elements/Communication_and_Collaboration/	participant_folder	contextHelpWithWrapper("manual_user/course_elements/Communication_and_Collaboration/#participant_folder")
contextHelpWithWrapper("Communication and Collaboration#_room_admin")	Communication and Collaboration#_room_admin	Communication and Collaboration	_room_admin	manual_user/course_elements/Course_element_OpenMeetings/		contextHelpWithWrapper("manual_user/course_elements/Course_element_OpenMeetings/")
contextHelpWithWrapper("Communication and Collaboration#_vitero_config")	Communication and Collaboration#_vitero_config	Communication and Collaboration	_vitero_config	manual_user/course_elements/Course_element_vitero/		contextHelpWithWrapper("manual_user/course_elements/Course_element_vitero/")
contextHelpWithWrapper("Communication and Collaboration#_vitero")	Communication and Collaboration#_vitero	Communication and Collaboration	_vitero	manual_user/course_elements/Course_element_vitero/		contextHelpWithWrapper("manual_user/course_elements/Course_element_vitero/")
contextHelpWithWrapper("Configure test questions#_tab_feedback")	Configure test questions#_tab_feedback	Configure test questions	_tab_feedback	manual_user/tests/Configure_test_questions/	feedback	contextHelpWithWrapper("manual_user/tests/Configure_test_questions/#feedback")
contextHelpWithWrapper("Configure+User")	Configure+User	Configure+User		manual_admin/usermanagement/Configure_User/		contextHelpWithWrapper("manual_admin/usermanagement/Configure_User/")
contextHelpWithWrapper("Course Element: Assessment")	Course Element: Assessment	Course Element: Assessment		manual_user/course_elements/Course_Element_Assessment/		contextHelpWithWrapper("manual_user/course_elements/Course_Element_Assessment/")
contextHelpWithWrapper("Course Element: SCORM Learning Content")	Course Element: SCORM Learning Content	Course Element: SCORM Learning Content		manual_user/course_elements/Course_Element_SCORM_Learning_Content/		contextHelpWithWrapper("manual_user/course_elements/Course_Element_SCORM_Learning_Content/")
contextHelpWithWrapper("Course Element: Single Page")	Course Element: Single Page	Course Element: Single Page		manual_user/course_elements/Course_Element_Single_Page/		contextHelpWithWrapper("manual_user/course_elements/Course_Element_Single_Page/")
contextHelpWithWrapper("Course Element: Structure#_displayscore")	Course Element: Structure#_displayscore	Course Element: Structure	_displayscore	manual_user/course_elements/Course_Element_Structure/	score	contextHelpWithWrapper("manual_user/course_elements/Course_Element_Structure/#score")
contextHelpWithWrapper("Course Reminders")	Course Reminders	Course Reminders		manual_user/course_operation/Course_Reminders/		contextHelpWithWrapper("manual_user/course_operation/Course_Reminders/")
contextHelpWithWrapper("Course settings#_delete")	Course settings#_delete	Course settings	_delete	manual_user/course_create/General_Information/	end_course	contextHelpWithWrapper("manual_user/course_create/General_Information/#end_course")
contextHelpWithWrapper("Course Settings#_zugriff")	Course Settings#_zugriff	Course Settings	_zugriff	manual_user/course_create/Access_configuration/		contextHelpWithWrapper("manual_user/course_create/Access_configuration/")
contextHelpWithWrapper("Course+element+BigBlueButton")	Course+element+BigBlueButton	Course+element+BigBlueButton		manual_user/course_elements/Course_element_BigBlueButton/		contextHelpWithWrapper("manual_user/course_elements/Course_element_BigBlueButton/")
contextHelpWithWrapper("COVID+certificate")	COVID+certificate	COVID+certificate		manual_user/personal/COVID_certificate/		contextHelpWithWrapper("manual_user/personal/COVID_certificate/")
contextHelpWithWrapper("Curriculum Management")	Curriculum Management	Curriculum Management		manual_user/curriculum/Curriculum_Management/		contextHelpWithWrapper("manual_user/curriculum/Curriculum_Management/")
contextHelpWithWrapper("Data Management#qb_change_md")	Data Management#qb_change_md	Data Management	qb_change_md	manual_user/question_bank/Data_Management/	metadata	contextHelpWithWrapper("manual_user/question_bank/Data_Management/#metadata")
contextHelpWithWrapper("Data Management#qb_rights")	Data Management#qb_rights	Data Management	qb_rights	manual_user/question_bank/Question_bank_possible_operations/	rights	contextHelpWithWrapper("manual_user/question_bank/Question_bank_possible_operations/#rights")
contextHelpWithWrapper("Data Management#qb_share")	Data Management#qb_share	Data Management	qb_share	manual_user/question_bank/Question_bank_possible_operations/	share	contextHelpWithWrapper("manual_user/question_bank/Question_bank_possible_operations/#share")
contextHelpWithWrapper("External platforms")	External platforms	External platforms		manual_admin/administration/LTI_External_platforms/		contextHelpWithWrapper("manual_admin/administration/LTI_External_platforms/")
contextHelpWithWrapper("External tools")	External tools	External tools		manual_admin/administration/LTI_External_tools/		contextHelpWithWrapper("manual_admin/administration/LTI_External_tools/")
contextHelpWithWrapper("General Configuration of Course Elements#_beschreibung")	General Configuration of Course Elements#_beschreibung	General Configuration of Course Elements	_beschreibung	manual_user/course_create/General_Configuration_of_Course_Elements/	desc	contextHelpWithWrapper("manual_user/course_create/General_Configuration_of_Course_Elements/#desc")
contextHelpWithWrapper("General Configuration of Course Elements#_zugang")	General Configuration of Course Elements#_zugang	General Configuration of Course Elements	_zugang	manual_user/course_create/General_Configuration_of_Course_Elements/	access	contextHelpWithWrapper("manual_user/course_create/General_Configuration_of_Course_Elements/#access")
contextHelpWithWrapper("Group Administration")	Group Administration	Group Administration		manual_user/groups/Group_Administration/		contextHelpWithWrapper("manual_user/groups/Group_Administration/")
contextHelpWithWrapper("Group Administration#gruppensystem_buchung_ag")	Group Administration#gruppensystem_buchung_ag	Group Administration	gruppensystem_buchung_ag	manual_user/groups/Group_Administration/	booking	contextHelpWithWrapper("manual_user/groups/Group_Administration/#booking")
contextHelpWithWrapper("Group Administration#gruppensystem_embed_course")	Group Administration#gruppensystem_embed_course	Group Administration	gruppensystem_embed_course	manual_user/groups/Group_Administration/	courses	contextHelpWithWrapper("manual_user/groups/Group_Administration/#courses")
contextHelpWithWrapper("Group Administration#gruppensystem_members")	Group Administration#gruppensystem_members	Group Administration	gruppensystem_members	manual_user/groups/Group_Administration/	members	contextHelpWithWrapper("manual_user/groups/Group_Administration/#members")
contextHelpWithWrapper("Knowledge Transfer")	Knowledge Transfer	Knowledge Transfer		manual_user/course_elements/Knowledge_Transfer/		contextHelpWithWrapper("manual_user/course_elements/Knowledge_Transfer/")
contextHelpWithWrapper("Knowledge Transfer#_blog_createentry")	Knowledge Transfer#_blog_createentry	Knowledge Transfer	_blog_createentry	manual_user/resource_blog/Four_Steps_to_Your_Blog/		contextHelpWithWrapper("manual_user/resource_blog/Four_Steps_to_Your_Blog/")
contextHelpWithWrapper("Knowledge Transfer#_cp_kursbaustein")	Knowledge Transfer#_cp_kursbaustein	Knowledge Transfer	_cp_kursbaustein	manual_user/resource_cp/In_Five_Steps_to_Your_Content_Package/		contextHelpWithWrapper("manual_user/resource_cp/In_Five_Steps_to_Your_Content_Package/")
contextHelpWithWrapper("Knowledge Transfer#_einzelseite")	Knowledge Transfer#_einzelseite	Knowledge Transfer	_einzelseite	manual_user/course_elements/Course_Element_Single_Page/		contextHelpWithWrapper("manual_user/course_elements/Course_Element_Single_Page/")
contextHelpWithWrapper("Knowledge Transfer#_expage")	Knowledge Transfer#_expage	Knowledge Transfer	_expage	manual_user/course_elements/Knowledge_Transfer/	external_page	contextHelpWithWrapper("manual_user/course_elements/Knowledge_Transfer/#external_page")
contextHelpWithWrapper("Knowledge Transfer#_ordner_access")	Knowledge Transfer#_ordner_access	Knowledge Transfer	_ordner_access	manual_user/course_elements/Course_Element_Folder/	ordner_access	contextHelpWithWrapper("manual_user/course_elements/Course_Element_Folder/#ordner_access")
contextHelpWithWrapper("Knowledge Transfer#_podcast_createentry")	Knowledge Transfer#_podcast_createentry	Knowledge Transfer	_podcast_createentry	manual_user/resource_podcast/Four_Steps_to_Your_Podcast/		contextHelpWithWrapper("manual_user/resource_podcast/Four_Steps_to_Your_Podcast/")
