Call,Search,Page,Anchor,NewPage,NewAnchor,Replacement
"contextHelpWithWrapper(""Course settings#_delete"")","""Course settings#_delete""",Course settings,_delete
"setFormContextHelp(""Modules: Repository"")","""Modules: Repository""",Modules: Repository,
"contextHelpWithWrapper(""Learning path profile"")","""Learning path profile""",Learning path profile,
"setFormContextHelp(""Learning path element"")","""Learning path element""",Learning path element,
"contextHelpWithWrapper(""Content#_document"")","""Content#_document""",Content,_document
"setFormContextHelp(""Learning Path"")","""Learning Path""",Learning Path,
"setFormContextHelp(""... create a bulk assessment for submission tasks"")","""... create a bulk assessment for submission tasks""",... create a bulk assessment for submission tasks,
"contextHelpWithWrapper(""... create a bulk assessment for submission tasks"")","""... create a bulk assessment for submission tasks""",... create a bulk assessment for submission tasks,
"contextHelpWithWrapper(""Using Editor Tools#_preview"")","""Using Editor Tools#_preview""",Using Editor Tools,_preview
"setFormContextHelp(""Folders#_metadata"")","""Folders#_metadata""",Folders,_metadata
"setFormContextHelp(""Versioning"")","""Versioning""",Versioning,
"getManualProvider().getURL(locale, ""Video"")","locale, ""Video""",Video,
"contextHelpLink(""User management"")","""User management""",User management,
"contextHelpWithWrapper(""Landing Pages"")","""Landing Pages""",Landing Pages,
"setFormContextHelp(""User management"")","""User management""",User management,
"contextHelpWithWrapper(""User management"")","""User management""",User management,
"contextHelpWithWrapper(""User management"")","""User management""",User management,
"contextHelpWithWrapper(""User management"")","""User management""",User management,
"contextHelpWithWrapper(""User management"")","""User management""",User management,
"contextHelpWithWrapper(""User management"")","""User management""",User management,
"setFormContextHelp(""Share groups"")","""Share groups""",Share groups,
"setFormContextHelp(""Share courses"")","""Share courses""",Share courses,
"contextHelpWithWrapper(""External tools"")","""External tools""",External tools,
"contextHelpWithWrapper(""External platforms"")","""External platforms""",External platforms,
"setFormContextHelp(""Test editor QTI 2.1 in detail#details_testeditor_options"")","""Test editor QTI 2.1 in detail#details_testeditor_options""",Test editor QTI 2.1 in detail,details_testeditor_options
"setFormContextHelp(""Test editor QTI 2.1 in detail#details_testeditor_feedback"")","""Test editor QTI 2.1 in detail#details_testeditor_feedback""",Test editor QTI 2.1 in detail,details_testeditor_feedback
"setFormContextHelp(""Introduction"")","""Introduction""",Introduction,
"setFormContextHelp(""Folders#Folders-MetaData"")","""Folders#Folders-MetaData""",Folders,Folders-MetaData
"setFormContextHelp(""ok"")","""ok""",ok,
"contextHelpWithWrapper(""Survey in the portfolio"")","""Survey in the portfolio""",Survey in the portfolio,
"setFormContextHelp(""Mediasite module"")","""Mediasite module""",Mediasite module,
"setFormContextHelp(""Contact tracing: Configuration"")","""Contact tracing: Configuration""",Contact tracing: Configuration,
"contextHelpLink(""Change+from+QTI+1.2+to+QTI+2.1"")","""Change+from+QTI+1.2+to+QTI+2.1""",Change+from+QTI+1.2+to+QTI+2.1,
"contextHelpWithWrapper(""Question Bank"")","""Question Bank""",Question Bank,
"contextHelpWithWrapper(""Working with wiki"")","""Working with wiki""",Working with wiki,
"setFormContextHelp(""Teams+module"")","""Teams+module""",Teams+module,
"setFormContextHelp(""KnowledgeTransfer#_edubase_config"")","""KnowledgeTransfer#_edubase_config""",KnowledgeTransfer,_edubase_config
"contextHelpWithWrapper(""Quick links"")","""Quick links""",Quick links,
"contextHelpWithWrapper(""Survey in the portfolio"")","""Survey in the portfolio""",Survey in the portfolio,
"setFormContextHelp(""KnowledgeTransfer#_card2brain_config"")","""KnowledgeTransfer#_card2brain_config""",KnowledgeTransfer,_card2brain_config
"getManualProvider().getURL(ureq.getLocale(), """")","ureq.getLocale(), """"",,
