setFormContextHelp("Folders#_metadata")	Folders#_metadata	Folders	_metadata	manual_user/personal/Personal_folders/	metadata		?? metadata
setFormContextHelp("Folders#Folders-MetaData")	Folders#Folders-MetaData	Folders	Folders-MetaData	manual_user/personal/Personal_folders/	metadata		?? metadata
setFormContextHelp("Modules: Repository")	Modules: Repository	Modules: Repository					gibts nicht
contextHelpWithWrapper("Learning path profile")	Learning path profile	Learning path profile					gibts nicht
setFormContextHelp("Learning path element")	Learning path element	Learning path element					gibts nicht
contextHelpWithWrapper("Content#_document")	Content#_document	Content	_document				gibts nicht
setFormContextHelp("Learning Path")	Learning Path	Learning Path					gibts nicht
setFormContextHelp("ok")	ok	ok					gibts nicht
setFormContextHelp("Test editor QTI 2.1 in detail#details_testeditor_options")	Test editor QTI 2.1 in detail#details_testeditor_options	Test editor QTI 2.1 in detail	details_testeditor_options				in confluence gelöscht
setFormContextHelp("Test editor QTI 2.1 in detail#details_testeditor_feedback")	Test editor QTI 2.1 in detail#details_testeditor_feedback	Test editor QTI 2.1 in detail	details_testeditor_feedback				in confluence gelöscht
getManualProvider().getURL(ureq.getLocale(), ")	ureq.getLocale(), "						link zu help
